FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
21163.000,21163,3026,8660,51893.000,8.300,9.400,8.900,18.200,5.200
21165.000,21237,753,1804,28443.000,-2.500,12.900,17.600,7.600,10.200
21167.000,21239,4958,7697,58712.000,7.300,11.700,9.100,32.900,3.200
21169.000,21169,976,3491,33562.000,10.200,12.900,13.700,13.100,4.600
21171.000,47027,707,2140,30976.000,7.000,9.500,17.300,14.600,6.500
21173.000,21181,787,1957,38958.000,4.500,13.200,14.300,10.200,5.800
21175.000,21237,753,1804,28443.000,-2.500,12.900,17.600,7.600,10.200
21179.000,42394,8355,20626,63697.500,8.900,11.150,9.100,18.700,4.200
21181.000,42382,1009,2716,40417.500,2.500,12.000,14.900,13.100,6.000
21185.000,21185,10268,20469,92454.000,11.000,8.300,6.200,42.200,3.400
21187.000,42396,8775,18797,55583.500,7.400,10.800,9.450,19.250,4.050
21189.000,21193,2136,8158,31814.000,-7.400,14.700,15.200,12.300,10.900
21193.000,21193,2136,8158,31814.000,-7.400,14.700,15.200,12.300,10.900
21195.000,123417,8685,39015,32769.000,-17.133,9.833,13.500,12.700,10.133
21197.000,21237,753,1804,28443.000,-2.500,12.900,17.600,7.600,10.200
21199.000,21231,1431,6370,30923.000,5.000,12.000,11.400,12.800,7.700
21201.000,21201,222,759,41877.000,0.500,10.800,15.500,16.000,6.200
21207.000,21231,1431,6370,30923.000,5.000,12.000,11.400,12.800,7.700
21209.000,42448,12671,22749,61760.500,12.500,12.450,8.050,30.750,3.500
21211.000,21215,1921,7196,71156.000,12.100,9.900,8.500,20.200,3.800
21215.000,21215,1921,7196,71156.000,12.100,9.900,8.500,20.200,3.800
21217.000,21217,2553,8320,37806.000,-6.900,13.500,12.200,19.200,5.000
21225.000,21233,1240,4397,43605.000,3.300,12.300,13.200,9.800,6.100
21231.000,115519,2901,14433,33904.667,-0.733,11.333,11.900,10.300,7.200
21233.000,21233,1240,4397,43605.000,3.300,12.300,13.200,9.800,6.100
21235.000,47013,2248,9860,34997.000,3.200,11.000,14.900,11.900,6.900
21237.000,21237,753,1804,28443.000,-2.500,12.900,17.600,7.600,10.200
21239.000,21239,4958,7697,58712.000,7.300,11.700,9.100,32.900,3.200
22001.000,66205,12033,40939,40207.333,-3.500,14.100,10.900,14.300,7.000
22003.000,110221,14452,53708,42953.200,-2.580,14.820,10.040,15.140,6.600
22005.000,44128,115369,92189,51308.500,-4.750,13.500,8.850,25.500,5.950
22007.000,44208,18930,48772,47883.000,-9.700,14.300,8.800,15.100,7.350
22009.000,110279,19523,37173,40225.200,-5.600,12.320,11.240,15.020,6.880
22011.000,136549,35409,93627,45436.400,0.040,14.340,10.060,16.200,6.380
22013.000,110387,19965,31891,36617.600,-4.960,12.180,11.180,19.220,6.440
22015.000,22081,1938,2391,33044.000,-9.500,12.000,13.000,13.900,6.000
22017.000,140792,10092,21871,39767.000,-3.125,11.450,13.025,14.625,6.875
22019.000,92423,30351,67918,43524.667,1.133,12.767,10.933,15.567,6.233
22021.000,132394,34653,68108,36406.333,-3.100,12.833,11.900,15.300,7.233
22023.000,44166,7825,30582,43091.000,-2.600,13.750,10.550,15.050,6.800
22025.000,66177,7107,13168,30405.000,-13.233,13.533,13.100,11.733,9.000
22027.000,44172,9793,18733,40662.000,-1.500,12.600,9.550,25.550,6.350
22029.000,116495,14438,18138,36947.200,-9.520,11.160,12.120,14.900,7.960
22031.000,114546,16079,27868,39060.750,-5.150,12.425,11.650,15.350,6.800
22033.000,22033,102711,84620,50451.000,-3.300,13.900,8.400,34.700,5.100
22035.000,72261,4267,10554,32138.333,-10.833,11.400,9.533,10.933,11.100
22037.000,50282,5073,4695,41424.500,-2.250,8.850,12.150,18.000,7.650
22039.000,44092,7288,21132,38287.000,-4.650,14.500,11.650,14.350,6.700
22041.000,66231,6992,13980,30783.333,-11.000,13.300,12.367,11.967,8.733
22043.000,44196,8786,13570,34847.000,-4.600,12.750,11.750,16.100,7.200
22045.000,44212,13011,36679,45304.000,-3.400,13.600,9.300,14.300,7.650
